Country,Coffee type,Total_domestic_consumption,Year,Consumption,Global_price,Year_num,Market_Size,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_STD_3,Consumption_Change_Lag1,Global_price_Lag1,Price_Change_Lag1,Consumption_Change
Angola,Arabica/Robusta,46500000,2006/07,1800000.0,90.99404992471297,2006,Pequeño,900000.0,900000.0,900000.0,900000.0,0.0,0.0,82.70770536498526,0.4204544748112291,1.0
Bolivia (Plurinational State of),Arabica,75180000,2019/20,3660000.0,130.55576145774515,2019,Pequeño,3600000.0,3510000.0,3420000.0,3510000.0,90000.0,0.02564102564102555,132.7149266814104,-0.11967040977234356,0.016666666666666607
Brazil,Arabica/Robusta,27824700000,2019/20,1320000000.0,102.06056865628332,2019,Gigante,1332000000.0,1319820000.0,1273500000.0,1308440000.0,30865689.689362198,0.009228531163340437,108.74478247537488,-0.13597107117728346,-0.009009009009009028
Burundi,Arabica/Robusta,3412020,2010/11,120000.0,137.39006088054458,2010,Pequeño,83940.0,86100.0,81420.0,83820.0,2342.306555513176,-0.02508710801393732,109.14939764884873,-0.10865336953471916,0.42959256611865615
Cameroon,Arabica/Robusta,143450940,2019/20,4620000.0,102.06056865628332,2019,Pequeño,4680000.0,4680000.0,4620000.0,4660000.0,34641.016151377546,0.0,108.74478247537488,-0.13597107117728346,-0.012820512820512775
Central African Republic,Robusta,24794400,2013/14,1200000.0,94.1177627831106,2013,Pequeño,1000020.0,799980.0,600000.0,800000.0,200010.0007499625,0.2500562514062852,102.84350884622624,-0.0585403958513625,0.19997600047999042
Colombia,Arabica,2536776384,2019/20,121486440.0,130.55576145774515,2019,Grande,107484600.0,107596260.0,104186484.0,106422448.0,1937206.2992546768,-0.0010377684131399612,132.7149266814104,-0.11967040977234356,0.13026833611512711
Costa Rica,Arabica,665335200,2019/20,21120000.0,130.55576145774515,2019,Mediano,21900000.0,21200040.0,19767420.0,20955820.0,1087063.4389951674,0.03301691883600211,132.7149266814104,-0.11967040977234356,-0.03561643835616435
Cuba,Arabica,384006000,2019/20,12960000.0,130.55576145774515,2019,Mediano,13200000.0,13440000.0,13200000.0,13280000.0,138564.06460551018,-0.017857142857142905,139.71246561892215,1.2731494327448574,-0.018181818181818188
Dominican Republic,Arabica/Robusta,642823380,2019/20,22620000.0,102.06056865628332,2019,Mediano,23400000.0,23400000.0,23400000.0,23400000.0,0.0,0.0,108.74478247537488,-0.13597107117728346,-0.033333333333333326
Ecuador,Arabica/Robusta,381540000,2019/20,8940000.0,102.06056865628332,2019,Mediano,9300000.0,9000000.0,12000000.0,10100000.0,1652271.1641858306,0.03333333333333344,116.80105005411255,1.5543267696174659,-0.03870967741935483
El Salvador,Arabica,417242040,2019/20,17520000.0,130.55576145774515,2019,Mediano,18000000.0,18000000.0,17520000.0,17840000.0,277128.12921102036,0.0,132.7149266814104,-0.11967040977234356,-0.026666666666666616
Ethiopia,Arabica,4536540000,2019/20,226860000.0,130.55576145774515,2019,Grande,221100000.0,218580000.0,214260000.0,217980000.0,3459248.4732958977,0.011528959648641202,132.7149266814104,-0.11967040977234356,0.026051560379918515
